,,,,,,,,,,,
name, state,location,course_level,fees,branches,", min_score", max_score, review_text, rating.,,
Bhubaneswar College of Engineering ,Odisha, Khurda,UG,100000,Electronics & Communication Engineering,1101569,1102873,good,5,,
Bhubaneswar Engineering College,Odisha, Bhubaneswar,UG,100000,Aeronautical Engineering,772288,1105552,good,5,,
Bhubaneswar Engineering College,Odisha, Bhubaneswar,UG,100000,Civil Engineering,653654,1106483,good,5,,
Bhubaneswar Engineering College,Odisha, Bhubaneswar,UG,100000,Computer Science and Engineering,931299,1106087,good,5,,
Bhubaneswar Engineering College,Odisha, Bhubaneswar,UG,100000,Mechanical Engineering,1103817,1106090,good,5,,
Bhubaneswar Institute of Industrial Technology,Odisha, Retanga,UG,100000,Civil Engineering,1103722,1103722,good,5,,
Bhubaneswar Institute of Industrial Technology,Odisha, Retanga,UG,100000,Mechanical Engineering,883661,895536,good,5,,
Bhubaneswar Institute of Industrial Technology,Odisha, Retanga,UG,100000,Mining Engineering,789147,1105126,good,5,,
Bhubaneswar Institute of Technology,Odisha, Bhubaneswar,UG,100000,Civil Engineering,1101346,1101816,good,5,,
Bhubaneswar Institute of Technology,Odisha, Bhubaneswar,UG,100000,Computer Science and Engineering,975875,1105883,good,5,,
Bhubaneswar Institute of Technology,Odisha, Bhubaneswar,UG,100000,Electrical and Electronics Engineering,1105065,1106385,good,5,,
Bhubaneswar Institute of Technology,Odisha, Bhubaneswar,UG,100000,Electronics & Communication Engineering,1105905,1105905,good,5,,
Bhubaneswar Institute of Technology,Odisha, Bhubaneswar,UG,100000,Mechanical Engineering,1103305,1104646,good,3.5,,
Black Diamond College of Engineering and Technology,Odisha, Jharsuguda,UG,100000,Computer Science and Engineering,1100596,1106432,good,3.5,,
Black Diamond College of Engineering and Technology,Odisha, Jharsuguda,UG,100000,Mechanical Engineering,727588,1104253,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Chemical Engineering,825309,825309,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Civil Engineering,583696,719149,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Computer Engineering,924445,981328,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Computer Engineering (Software Engg),385279,1102954,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Computer science & Engineering (Data Science),648306,866000,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Computer Science and Engineering,164680,1100020,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,"Computer Science and Engineering (IoT and Cyber Security
Including block chain technology)",573769,573769,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Computer Science and Information Technology,412993,1103619,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,"Computer Science Engineering (Artificial Inteligence and
Machine Learning)",340490,1100401,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Electrical and Electronics Engineering,679100,908650,good,3.5,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Electrical Engineering,290292,290292,good,3.5,,
